ID;TarifID;DateStart;DateEnd;Value
2345;23;2020-01-01 00:00:00;2020-01-31 00:00:00;6.7000
2346;23;2020-02-01 00:00:00;2020-02-29 00:00:00;6.9000
2347;23;2020-03-01 00:00:00;2020-03-31 00:00:00;6.8400
2349;23;2020-04-01 00:00:00;2020-04-30 00:00:00;6.8100
2350;23;2020-05-01 00:00:00;2020-05-31 00:00:00;6.7000
2352;1;2020-07-01 00:00:00;2020-12-31 00:00:00;2.9700
2353;2;2020-07-01 00:00:00;2020-12-31 00:00:00;3.0200
2354;3;2020-07-01 00:00:00;2020-12-31 00:00:00;1.4900
2355;4;2020-07-01 00:00:00;2020-12-31 00:00:00;2.0900
2356;5;2020-07-01 00:00:00;2020-12-31 00:00:00;2.1100
2357;6;2020-07-01 00:00:00;2020-12-31 00:00:00;1.0400
2358;10;2020-07-01 00:00:00;2020-12-31 00:00:00;2.9700
2359;11;2020-07-01 00:00:00;2020-12-31 00:00:00;3.0200
2360;12;2020-07-01 00:00:00;2020-12-31 00:00:00;1.4900
2361;27;2020-07-01 00:00:00;2020-12-31 00:00:00;2.1100
2362;28;2020-07-01 00:00:00;2020-12-31 00:00:00;1.0400
2363;29;2020-07-01 00:00:00;2020-12-31 00:00:00;2.0900
2364;23;2020-06-01 00:00:00;2020-06-30 00:00:00;6.9300
2365;23;2020-07-01 00:00:00;2020-07-31 00:00:00;6.9500
2366;23;2020-08-01 00:00:00;2020-08-31 00:00:00;7.0600
2367;23;2020-09-01 00:00:00;2020-09-30 00:00:00;7.2400
2368;23;2020-10-01 00:00:00;2020-10-31 00:00:00;7.0900
2369;23;2020-11-01 00:00:00;2020-11-30 00:00:00;7.0900
2370;1;2021-01-01 00:00:00;2021-06-30 00:00:00;2.9700
2371;2;2021-01-01 00:00:00;2021-06-30 00:00:00;3.0200
2372;3;2021-01-01 00:00:00;2021-06-30 00:00:00;1.4900
2373;4;2021-01-01 00:00:00;2021-06-30 00:00:00;2.0900
2374;5;2021-01-01 00:00:00;2021-06-30 00:00:00;2.1100
2375;6;2021-01-01 00:00:00;2021-06-30 00:00:00;1.0400
2376;10;2021-01-01 00:00:00;2021-06-30 00:00:00;2.9700
2377;11;2021-01-01 00:00:00;2021-06-30 00:00:00;3.0200
2378;12;2021-01-01 00:00:00;2021-06-30 00:00:00;1.4900
2379;27;2021-01-01 00:00:00;2021-06-30 00:00:00;2.1100
2380;28;2021-01-01 00:00:00;2021-06-30 00:00:00;1.0400
2381;29;2021-01-01 00:00:00;2021-06-30 00:00:00;2.0900
2383;23;2020-12-01 00:00:00;2020-12-31 00:00:00;6.8000
2385;23;2021-01-01 00:00:00;2021-01-31 00:00:00;6.8500
2386;23;2021-02-01 00:00:00;2021-02-28 00:00:00;7.0400
2388;23;2021-03-01 00:00:00;2021-03-31 00:00:00;6.8500
2389;23;2021-04-01 00:00:00;2021-04-30 00:00:00;6.9300
2390;23;2021-05-01 00:00:00;2021-05-31 00:00:00;6.8400
2391;1;2021-07-01 00:00:00;2021-12-31 00:00:00;3.0700
2392;2;2021-07-01 00:00:00;2021-12-31 00:00:00;3.1200
2393;3;2021-07-01 00:00:00;2021-12-31 00:00:00;1.5400
2394;4;2021-07-01 00:00:00;2021-12-31 00:00:00;2.1600
2395;5;2021-07-01 00:00:00;2021-12-31 00:00:00;2.1800
